vtkOriginalIndices,Concentration,ConcentrationLiquide,ConcentrationSolide,ConductiviteThermiqueP0,DensityFluideP0,DensityP0,DensityP1,EnthalpieVol,ErrReg,FractionLiq_c,FractionSolide_c,GradrholBis_P0:0,GradrholBis_P0:1,GradrholBis_P0:2,MassBalanceRHS_P0,PartitionE,Points:0,Points:1,Points:2,TemperatureC,ViscosityP0,Vitesse:0,Vitesse:1,Vitesse:2,__vtkIsSelected__,arc_length,d_interface_regular,divV_element,h_meshsize,h_quality,vtkValidPointMask
58,6.99107,5.67596,6.99107,70,2600,2800,2800,1.11729e+009,100,1.06097e-011,1,-81949.5,-702167,0,0,0,0.0005,0.00812,0,429.726,0.001,1.22427e-015,-1.13485e-012,0,0,0.00812,0.0847184,-8.8917e-011,0.000153514,0.950713,1
59,7.04942,1.74514,7.04942,70,2600,2800,2800,1.11807e+009,100,1.35425e-012,1,98485.1,842673,0,0,0,0.0005,0.00826,0,430.029,0.001,-3.08418e-015,-1.13942e-012,0,0,0.00826,0.0845783,-8.48875e-011,0.000145341,0.894485,1
60,7.02444,3.96602,7.02444,70,2600,2800,2800,1.11886e+009,100,3.07136e-012,1,327074,-829616,0,0,0,0.0005,0.0084,0,430.331,0.001,-5.19485e-015,-1.14592e-012,0,0,0.0084,0.0844383,-9.60145e-011,0.000151444,0.908849,1
61,7.02074,4.32525,7.02074,70,2600,2800,2800,1.11965e+009,100,3.40378e-012,1,-267808,878294,0,0,0,0.0005,0.00854,0,430.634,0.001,2.4517e-016,-1.1552e-012,0,0,0.00854,0.0842983,-1.37822e-010,0.000155962,0.878524,1
62,7.04293,2.69159,7.04293,70,2600,2800,2800,1.12043e+009,100,5.48972e-012,1,521093,-214148,0,0,0,0.0005,0.00868,0,430.936,0.001,3.17804e-014,-1.18274e-012,0,0,0.00868,0.0841583,2.14852e-010,0.00016231,0.828435,1
63,7.03633,2.01827,7.03633,70,2600,2800,2800,1.12122e+009,100,1.28688e-011,1,686370,-99556,0,0,0,0.0005,0.00882,0,431.238,0.001,4.40007e-014,-1.21709e-012,0,0,0.00882,0.0840183,-6.74029e-010,0.000174096,0.738292,1
64,7.00907,3.0602,7.00907,70,2600,2800,2800,1.122e+009,100,7.81653e-012,1,-66738.9,785761,0,0,0,0.0005,0.00896,0,431.54,0.001,4.50474e-014,-1.24646e-012,0,0,0.00896,0.0838784,-2.94898e-010,0.000152091,0.965228,1
65,7.00729,2.39824,7.00729,70,2600,2800,2800,1.12279e+009,100,6.12425e-012,1,722005,-719954,0,0,0,0.0005,0.0091,0,431.841,0.001,2.00314e-014,-1.26764e-012,0,0,0.0091,0.0837384,-4.07929e-010,0.000133698,0.809459,1
66,7.01696,0,7.01696,70,2600,2800,2800,1.12357e+009,100,1.34195e-016,1,0.0162447,-531.838,0,0,0,0.0005,0.00924,0,432.143,0.001,1.1778e-014,-1.2672e-012,0,0,0.00924,0.0835984,2.65874e-010,0.000155135,0.920219,1
67,7.02882,0,7.02882,70,2600,2800,2800,1.12436e+009,100,1.55313e-016,1,0.0452493,-531.584,0,0,0,0.0005,0.00938,0,432.444,0.001,1.5154e-014,-1.27177e-012,0,0,0.00938,0.0834583,-3.80738e-010,0.000160214,0.799084,1
68,7.00876,5.01208,7.00876,70,2600,2800,2800,1.12514e+009,100,3.72648e-012,1,-593806,396393,0,0,0,0.0005,0.00952,0,432.746,0.001,3.00919e-014,-1.30511e-012,0,0,0.00952,0.0833183,-3.44314e-010,0.000170761,0.762044,1
69,6.97971,6.12804,6.97971,70,2600,2800,2800,1.12592e+009,100,4.25351e-012,1,754352,389701,0,0,0,0.0005,0.00966,0,433.046,0.001,3.198e-014,-1.32861e-012,0,0,0.00966,0.0831784,3.4061e-010,0.00016816,0.770033,1
70,6.96845,6.96845,6.96845,70,2600,2800,2800,1.1267e+009,100,5.7729e-012,1,-2071.98,-1073.75,0,0,0,0.0005,0.0098,0,433.347,0.001,2.58887e-015,-1.34916e-012,0,0,0.0098,0.0830383,-1.93696e-011,0.000163156,0.816431,1
71,7.02148,2.23931,7.02148,70,2600,2800,2800,1.12748e+009,100,2.37163e-012,1,-933282,-65321.9,0,0,0,0.0005,0.00994,0,433.648,0.001,-1.06257e-014,-1.37147e-012,0,0,0.00994,0.0828984,-3.58523e-010,0.00015688,0.789208,1
