Temps	vA	vM
1924.7	0.00199286	0.00600714
1924.8	0.00199283	0.00600717
1924.9	0.00199281	0.00600719
1925	0.00199283	0.00600717
1925.1	0.00199283	0.00600717
1925.2	0.0019928	0.0060072
1925.3	0.00199278	0.00600722
1925.4	0.0019928	0.0060072
1925.5	0.00199279	0.00600721
1925.6	0.00199275	0.00600725
1925.7	0.00199275	0.00600725
1925.8	0.00199277	0.00600723
1925.9	0.00199275	0.00600725
1926	0.00199272	0.00600728
1926.1	0.00199274	0.00600726
1926.2	0.00199275	0.00600725
1926.3	0.0019927	0.0060073
1926.4	0.00199269	0.00600731
1926.5	0.00199272	0.00600728
1926.6	0.00199272	0.00600728
1926.7	0.00199267	0.00600733
1926.8	0.00199267	0.00600733
1926.9	0.0019927	0.0060073
1927	0.00199266	0.00600734
1927.1	0.00199263	0.00600737
1927.2	0.00199267	0.00600733
1927.3	0.00199267	0.00600733
1927.4	0.00199262	0.00600738
1927.5	0.0019926	0.0060074
1927.6	0.00199264	0.00600736
1927.7	0.00199262	0.00600738
1927.8	0.00199257	0.00600743
1927.9	0.00199259	0.00600741
1928	0.00199262	0.00600738
1928.1	0.00199258	0.00600742
1928.2	0.00199254	0.00600746
1928.3	0.00199258	0.00600742
1928.4	0.00199259	0.00600741
1928.5	0.00199254	0.00600746
1928.6	0.00199253	0.00600747
1928.7	0.00199258	0.00600742
1928.8	0.00199257	0.00600743
1928.9	0.00199252	0.00600748
1929	0.00199254	0.00600746
1929.1	0.00199256	0.00600744
1929.2	0.00199253	0.00600747
1929.3	0.00199249	0.00600751
1929.4	0.00199251	0.00600749
1929.5	0.00199253	0.00600747
1929.6	0.00199247	0.00600753
1929.7	0.00199247	0.00600753
1929.8	0.00199249	0.00600751
1929.9	0.00199248	0.00600752
1930	0.00199244	0.00600756
1930.1	0.00199245	0.00600755
1930.2	0.00199247	0.00600753
1930.3	0.00199243	0.00600757
1930.4	0.00199241	0.00600759
1930.5	0.00199245	0.00600755
1930.6	0.00199244	0.00600756
1930.7	0.0019924	0.0060076
1930.8	0.00199241	0.00600759
1930.9	0.00199244	0.00600756
1931	0.00199241	0.00600759
1931.1	0.00199237	0.00600763
1931.2	0.0019924	0.0060076
1931.3	0.00199241	0.00600759
1931.4	0.00199237	0.00600763
1931.5	0.00199234	0.00600766
1931.6	0.00199237	0.00600763
1931.7	0.00199237	0.00600763
1931.8	0.0019923	0.0060077
1931.9	0.00199232	0.00600768
1932	0.00199235	0.00600765
1932.1	0.00199232	0.00600768
1932.2	0.00199227	0.00600773
1932.3	0.0019923	0.0060077
1932.4	0.00199232	0.00600768
1932.5	0.00199227	0.00600773
1932.6	0.00199226	0.00600774
1932.7	0.00199231	0.00600769
1932.8	0.0019923	0.0060077
1932.9	0.00199225	0.00600775
