Temps	vA	vM	mMpct	msoluteM_pct
1881	0.00199616	0.00600384	0.064282525	0.067909329
1881.1	0.00199615	0.00600385	0.06451628	0.067909329
1881.2	0.00199613	0.00600387	0.064750034	0.068689896
1881.3	0.00199614	0.00600386	0.06451628	0.068689896
1881.4	0.00199613	0.00600387	0.064750034	0.068689896
1881.5	0.00199612	0.00600388	0.064750034	0.068689896
1881.6	0.00199612	0.00600388	0.064983789	0.068689896
1881.7	0.00199613	0.00600387	0.064750034	0.068689896
1881.8	0.00199612	0.00600388	0.064750034	0.068689896
1881.9	0.00199612	0.00600388	0.064983789	0.068689896
1882	0.00199613	0.00600387	0.064750034	0.068689896
1882.1	0.00199614	0.00600386	0.064750034	0.068689896
1882.2	0.00199613	0.00600387	0.064750034	0.067909329
1882.3	0.00199612	0.00600388	0.064983789	0.068689896
1882.4	0.00199612	0.00600388	0.064750034	0.068689896
1882.5	0.00199612	0.00600388	0.064983789	0.068689896
1882.6	0.00199609	0.00600391	0.065217544	0.068689896
1882.7	0.00199609	0.00600391	0.065451298	0.068689896
1882.8	0.00199609	0.00600391	0.065451298	0.069470463
1882.9	0.00199607	0.00600393	0.065685053	0.069470463
1883	0.00199606	0.00600394	0.065918808	0.069470463
1883.1	0.00199605	0.00600395	0.066152562	0.069470463
1883.2	0.00199605	0.00600395	0.066152562	0.069470463
1883.3	0.00199602	0.00600398	0.066620072	0.07025103
1883.4	0.00199601	0.00600399	0.066853826	0.07025103
1883.5	0.00199601	0.00600399	0.066853826	0.07025103
1883.6	0.00199599	0.00600401	0.067087581	0.071031597
1883.7	0.00199597	0.00600403	0.067321335	0.071031597
1883.8	0.00199596	0.00600404	0.06755509	0.071031597
1883.9	0.00199596	0.00600404	0.06755509	0.071031597
1884	0.00199595	0.00600405	0.067788845	0.071031597
1884.1	0.00199593	0.00600407	0.068022599	0.071812164
1884.2	0.00199593	0.00600407	0.068022599	0.071812164
1884.3	0.00199594	0.00600406	0.068022599	0.071812164
1884.4	0.00199593	0.00600407	0.068022599	0.071812164
1884.5	0.00199593	0.00600407	0.068022599	0.071812164
1884.6	0.00199593	0.00600407	0.068022599	0.071812164
1884.7	0.00199593	0.00600407	0.068022599	0.071812164
1884.8	0.00199591	0.00600409	0.068256354	0.071812164
1884.9	0.0019959	0.0060041	0.068490109	0.072592731
1885	0.00199591	0.00600409	0.068256354	0.071812164
1885.1	0.00199589	0.00600411	0.068723863	0.072592731
1885.2	0.00199588	0.00600412	0.068957618	0.072592731
1885.3	0.00199587	0.00600413	0.068957618	0.072592731
1885.4	0.00199587	0.00600413	0.069191373	0.072592731
1885.5	0.00199585	0.00600415	0.069425127	0.073373298
1885.6	0.00199584	0.00600416	0.069658882	0.073373298
1885.7	0.00199584	0.00600416	0.069425127	0.073373298
1885.8	0.00199584	0.00600416	0.069658882	0.073373298
1885.9	0.0019958	0.0060042	0.070126391	0.074153865
1886	0.0019958	0.0060042	0.070126391	0.074153865
1886.1	0.00199579	0.00600421	0.070360146	0.074153865
1886.2	0.00199577	0.00600423	0.0705939	0.074153865
1886.3	0.00199575	0.00600425	0.07106141	0.074934432
1886.4	0.00199574	0.00600426	0.071295164	0.074934432
1886.5	0.00199574	0.00600426	0.071295164	0.074934432
1886.6	0.00199571	0.00600429	0.071762674	0.075714999
1886.7	0.0019957	0.0060043	0.071996428	0.075714999
1886.8	0.0019957	0.0060043	0.071996428	0.075714999
1886.9	0.00199568	0.00600432	0.072230183	0.075714999
1887	0.00199566	0.00600434	0.072463938	0.075714999
1887.1	0.00199566	0.00600434	0.072463938	0.076495566
1887.2	0.00199566	0.00600434	0.072463938	0.076495566
1887.3	0.00199565	0.00600435	0.072697692	0.076495566
1887.4	0.00199563	0.00600437	0.072931447	0.076495566
1887.5	0.00199565	0.00600435	0.072697692	0.076495566
1887.6	0.00199564	0.00600436	0.072931447	0.076495566
1887.7	0.00199563	0.00600437	0.072931447	0.076495566
1887.8	0.00199563	0.00600437	0.073165201	0.076495566
1887.9	0.00199563	0.00600437	0.072931447	0.076495566
1888	0.00199563	0.00600437	0.073165201	0.076495566
1888.1	0.0019956	0.0060044	0.073632711	0.077276133
1888.2	0.0019956	0.0060044	0.073398956	0.077276133
1888.3	0.00199561	0.00600439	0.073398956	0.077276133
1888.4	0.00199558	0.00600442	0.073866465	0.077276133
1888.5	0.00199558	0.00600442	0.073866465	0.077276133
1888.6	0.00199558	0.00600442	0.073866465	0.077276133
1888.7	0.00199557	0.00600443	0.07410022	0.0780567
1888.8	0.00199555	0.00600445	0.074333975	0.0780567
1888.9	0.00199554	0.00600446	0.074567729	0.0780567
1889	0.00199555	0.00600445	0.074333975	0.0780567
1889.1	0.00199554	0.00600446	0.074567729	0.0780567
1889.2	0.00199551	0.00600449	0.075035239	0.078837267
1889.3	0.00199553	0.00600447	0.074801484	0.078837267
1889.4	0.00199552	0.00600448	0.074801484	0.078837267
1889.5	0.00199551	0.00600449	0.075035239	0.078837267
1889.6	0.00199551	0.00600449	0.075035239	0.078837267
1889.7	0.00199552	0.00600448	0.074801484	0.078837267
1889.8	0.00199552	0.00600448	0.075035239	0.078837267
1889.9	0.0019955	0.0060045	0.075268993	0.078837267
1890	0.00199551	0.00600449	0.075035239	0.078837267
1890.1	0.00199551	0.00600449	0.075035239	0.078837267
1890.2	0.00199549	0.00600451	0.075268993	0.078837267
1890.3	0.00199548	0.00600452	0.075502748	0.079617834
1890.4	0.00199549	0.00600451	0.075502748	0.079617834
1890.5	0.00199549	0.00600451	0.075502748	0.078837267
1890.6	0.00199547	0.00600453	0.075736502	0.079617834
1890.7	0.00199546	0.00600454	0.075970257	0.079617834
1890.8	0.00199547	0.00600453	0.075736502	0.079617834
1890.9	0.00199546	0.00600454	0.075970257	0.079617834
1891	0.00199546	0.00600454	0.075970257	0.079617834
1891.1	0.00199546	0.00600454	0.075970257	0.079617834
1891.2	0.00199547	0.00600453	0.075736502	0.079617834
1891.3	0.00199546	0.00600454	0.075970257	0.079617834
1891.4	0.00199544	0.00600456	0.076204012	0.079617834
1891.5	0.00199545	0.00600455	0.075970257	0.079617834
1891.6	0.00199545	0.00600455	0.076204012	0.079617834
1891.7	0.00199542	0.00600458	0.076437766	0.080398401
1891.8	0.00199542	0.00600458	0.076671521	0.080398401
1891.9	0.00199542	0.00600458	0.076671521	0.080398401
1892	0.0019954	0.0060046	0.076905276	0.080398401
1892.1	0.00199538	0.00600462	0.07713903	0.081178968
1892.2	0.00199538	0.00600462	0.07713903	0.081178968
1892.3	0.00199539	0.00600461	0.07713903	0.080398401
1892.4	0.00199536	0.00600464	0.07760654	0.081178968
1892.5	0.00199535	0.00600465	0.077840294	0.081178968
1892.6	0.00199535	0.00600465	0.07760654	0.081178968
1892.7	0.00199534	0.00600466	0.077840294	0.081959535
1892.8	0.00199531	0.00600469	0.078307803	0.081959535
1892.9	0.00199531	0.00600469	0.078307803	0.081959535
1893	0.00199531	0.00600469	0.078307803	0.081959535
1893.1	0.0019953	0.0060047	0.078541558	0.081959535
1893.2	0.00199527	0.00600473	0.079009067	0.082740102
1893.3	0.00199528	0.00600472	0.078775313	0.082740102
1893.4	0.00199528	0.00600472	0.079009067	0.082740102
1893.5	0.00199526	0.00600474	0.079242822	0.082740102
1893.6	0.00199525	0.00600475	0.079242822	0.083520669
1893.7	0.00199526	0.00600474	0.079242822	0.082740102
1893.8	0.00199526	0.00600474	0.079242822	0.082740102
1893.9	0.00199523	0.00600477	0.079710331	0.083520669
1894	0.00199523	0.00600477	0.079710331	0.083520669
1894.1	0.00199524	0.00600476	0.079710331	0.083520669
1894.2	0.00199522	0.00600478	0.079944086	0.083520669
1894.3	0.0019952	0.0060048	0.080177841	0.084301236
1894.4	0.00199519	0.00600481	0.080411595	0.084301236
1894.5	0.00199519	0.00600481	0.080411595	0.084301236
1894.6	0.00199516	0.00600484	0.080879104	0.084301236
1894.7	0.00199515	0.00600485	0.081112859	0.085081803
1894.8	0.00199517	0.00600483	0.080879104	0.084301236
1894.9	0.00199515	0.00600485	0.081112859	0.085081803
1895	0.00199513	0.00600487	0.081580368	0.085081803
1895.1	0.00199513	0.00600487	0.081346614	0.085081803
1895.2	0.00199514	0.00600486	0.081346614	0.085081803
