TemperatureC,Vitesse0,Vitesse1,Vitesse2,FractionLiq,Concentration_carbon,Concentration_chromium,FractionBCC,FractionFCC,FractionM7C3,FractionCementite,vtkValidPointMask,arc_length,Points0,Points1,Points2,vtkOriginalIndices,__vtkIsSelected__
112.356,3.2445e-017,1.82414e-017,1.10733e-016,0,1.94245,29.7678,0.727716,0.000591575,0,0.271693,1,0.0192,-4.49829e-007,5.49946e-007,0.0192,128,0
112.426,7.80757e-018,3.49889e-017,1.96428e-016,0,1.94295,29.771,0.727673,0.000563553,0,0.271764,1,0.01935,-4.49829e-007,5.49946e-007,0.01935,129,0
112.495,-1.35718e-017,5.30004e-017,2.20208e-016,0,1.94388,29.7789,0.727577,0.00053064,0,0.271893,1,0.0195,-4.49829e-007,5.49946e-007,0.0195,130,0
112.564,-7.6215e-019,9.07725e-017,1.28799e-016,0,1.94416,29.7804,0.727558,0.000510511,0,0.271932,1,0.01965,-4.49829e-007,5.49946e-007,0.01965,131,0
112.633,8.76887e-018,7.46181e-017,1.17711e-016,0,1.94401,29.7762,0.727593,0.00049544,0,0.271911,1,0.0198,-4.49829e-007,5.49946e-007,0.0198,132,0
112.702,1.82399e-017,7.48177e-017,7.07706e-017,0,1.94399,29.7728,0.727614,0.000477593,0,0.271908,1,0.01995,-4.49829e-007,5.49946e-007,0.01995,133,0
112.77,2.77026e-017,7.72705e-017,1.88911e-017,0,1.94398,29.7695,0.727634,0.000459363,0,0.271907,1,0.0201,-4.49829e-007,5.49946e-007,0.0201,134,0
112.839,3.71652e-017,7.97232e-017,-3.29877e-017,0,1.94397,29.7662,0.727653,0.000441133,0,0.271905,1,0.02025,-4.49829e-007,5.49946e-007,0.02025,135,0
112.908,4.12845e-017,7.4029e-017,-6.98535e-017,0,1.94398,29.7632,0.72767,0.000422995,0,0.271907,1,0.0204,-4.49829e-007,5.49946e-007,0.0204,136,0
112.976,1.20967e-017,1.75512e-017,-1.31335e-017,0,1.94412,29.7627,0.727668,0.000405429,0,0.271926,1,0.02055,-4.49829e-007,5.49946e-007,0.02055,137,0
